ailMel1,Giant Panda
allMis1,American Alligator
anoCar2,Green Anole
anoGam3,African Malaria Mosquito
apiMel2,Honey Bee
aplCal1,California Sea Hare
aptMan1,Southern Brown Kiwi
aquChr2,Golden Eagle
balAcu1,Minke Whale
bosTau9,Cattle
braFlo1,Florida Lancelet
caeJap1,C. japonica
caePb2,C. brenneri
calJac4,Marmoset
calMil1,Elephant Shark
canFam5,Dog
cavPor3,Domestic Guinea Pig
ce11,C. elegans
cerSim1,Southern White Rhinoceros
chlSab2,Green Monkey
choHof1,Hoffmann's Two-Toed Sloth
chrPic1,Western Painted Turtle
ci3,Sea vase
criGriChoV2,Chinese Hamster
danRer11,Zebrafish
dasNov3,Nine-Banded Armadillo
dipOrd1,Ord's Kangaroo Rat
dm6,Drosophila_melanogaster
dp4,Drosophila_pseudoobscura
droAna3,Drosophila_ananassae
droEre2,Drosophila_erecta
droGri2,Drosophila_grimshawi
droMoj3,Drosophila_mojavensis
droPer1,Drosophila_persimilis
droSec1,Drosophila_sechellia
droSim1,Drosophila_simulans
droVir3,Drosophila_virilis
droYak2,Drosophila_yakuba
eboVir3,Ebola Virus
echTel2,Lesser Madagascar Hedgehog
equCab3,Horse
felCat9,Domestic Cat
fr3,Fugu
gadMor1,Atlantic Cod
galGal6,Chicken
geoFor1,Medium Ground Finch
gorGor6,Western Iowland Gorilla
hetGla2,Naked Mole Rat
hg38,Human
latCha1,Coelacanth
loxAfr3,African Savanna Elephant
macEug2,Tammar Wallaby
macFas5,Crab-Eating Macaque
manPen1,Chinese Pangolin
melGal5,urkey
melUnd1,Budgerigar
micMur2,Gray Mouse Lemur
mm39,House Mouse
musFur1,Domestic Ferret
myoLuc2,Little Brown Bat
nanPar1,Frog
nasLar1,Proboscis Monkey
nomLeu3,Northern White-Cheeked Gibbon
ochPri3,American Pika
oreNil2,Nile Tilapia
ornAna2,Platypus
oryCun2,Rabbit
oryLat2,Japanese Rice Fish
otoGar3,Small-Eared Galago
oviAri4,Sheep
panPan3,Bonobo
panTro6,Chimpanzee
papAnu4,Olive Baboon
papHam1,Hamadryas Baboon
petMar3,Lamprey
priPac1,Pristionchus Pacificus
proCap1,Cape Rock Hyrax
pteVam1,Large Flying Fox
rheMac10,Rhesus Monkey
rn7,Norway Rat
sacCer3,Yeast
saiBol1,Bolivian Squirrel Monkey
sarHar1,Tasmanian Devil
sorAra2,European Shrew
speTri2,Thirteen-Lined Ground Squirrel
strPur2,Pacific Purple Sea Urchin
susScr11,Pig
taeGut2,Zebra Finch
tarSyr2,Philippine Tarsier
tetNig2,Tetraodon
thaSir1,Garter Snake
triMan1,Florida Manatee
tupBel1,Treeshrew
vicPac2,Alpaca
wuhCor1,SARS-CoV-2
xenTro10,Tropical Clawed Frog
Ecoli,Ecoli
Yersinia_pestis,Yersinia pestis
Bacillus_cereus,Bacillus cereus
Streptococcus_pneumoniae,Streptococcus pneumoniae